sweep,moves,potential,mean_utility,max_user_regret
0,0,255.6964346850242,0.8641925180365786,0.6000587312987917
1,86,238.90929348440383,0.8942551199968752,0.005602871558174849
2,89,238.88566103388823,0.8923443726179957,0.0037540000453262223
3,92,238.87913805009848,0.8936557657643779,0.0037540000453262223
4,94,238.8722525928234,0.8936844551696908,0.0023712929967523166
5,96,238.86635697225174,0.893709020255406,0.0
6,96,238.86635697225174,0.893709020255406,0.0
