id,release_period,deadline_period,flexible,uniform_initial_utility,uniform_initial_bill,uniform_initial_delay_hours,uniform_initial_congestion_cost,uniform_equilibrium_utility,uniform_equilibrium_bill,uniform_equilibrium_delay_hours,uniform_equilibrium_congestion_cost,tou_initial_utility,tou_initial_bill,tou_initial_delay_hours,tou_initial_congestion_cost,tou_equilibrium_utility,tou_equilibrium_bill,tou_equilibrium_delay_hours,tou_equilibrium_congestion_cost
0,7,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
1,6,6,False,1.0631814747683317,0.746899363127265,0.0,0.18991916210440318,1.0833070826254823,0.7465651776676611,0.0,0.17006090261493578,0.867720731917583,0.9423601059780141,0.0,0.1899191621044032,0.8607310586700863,0.93555137954318,0.0,0.20235581649976736
2,7,7,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
3,7,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
4,4,4,False,1.253100636872735,0.746899363127265,0.0,0.0,1.1089953324534316,0.7289462362801167,0.0,0.15494401761951304,1.226615951893169,0.7733840481068313,0.0,0.0,1.1158488176734982,0.7634826025229904,0.0,0.11850891739663319
5,8,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
6,4,6,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,1.0632717541682173,0.936728245831783,0.0,0.0,1.0629044678800614,0.936728245831783,0.0,0.0003672862881556914
7,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
8,8,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
9,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
10,4,6,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.098598361935766,0.7289462362801167,0.0,0.15494401761951304,1.0632717541682173,0.936728245831783,0.0,0.0,1.0981383992110325,0.762827631610641,0.0,0.11850891739663319
11,4,4,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0984795586614677,0.7296149082677823,0.0,0.15466161770121192,1.0632717541682173,0.936728245831783,0.0,0.0,1.063170225352898,0.902583813938935,0.0,0.03083151751888249
12,5,5,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,0.9210386009327398,1.0789613990672606,0.0,0.0,0.9206180725366979,1.0789613990672606,0.0,0.0004205283960418955
13,5,7,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,0.9210386009327398,1.0789613990672606,0.0,0.0,0.9206180725366979,1.0789613990672606,0.0,0.0004205283960418955
14,7,7,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
15,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.826085053196364,0.9898864831561986,0.0,0.16911617080614338
16,4,6,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,1.0632717541682173,0.936728245831783,0.0,0.0,1.0629044678800614,0.936728245831783,0.0,0.0003672862881556914
17,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
18,8,8,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
19,4,4,False,1.253100636872735,0.746899363127265,0.0,0.0,1.1089953324534316,0.7289462362801167,0.0,0.15494401761951304,1.226615951893169,0.7733840481068313,0.0,0.0,1.1158488176734982,0.7634826025229904,0.0,0.11850891739663319
20,8,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
21,4,4,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,1.0632717541682173,0.936728245831783,0.0,0.0,1.0629044678800614,0.936728245831783,0.0,0.0003672862881556914
22,8,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
23,7,7,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
24,5,7,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.098598361935766,0.7289462362801167,0.0,0.15494401761951304,0.9210386009327398,1.0789613990672606,0.0,0.0,0.9558239763791209,0.8606558864653695,0.0,0.1573129266991642
25,6,8,True,1.0631814747683317,0.746899363127265,0.0,0.18991916210440318,1.083353305323517,0.746899363127265,0.0,0.169747331549218,0.867720731917583,0.9423601059780141,0.0,0.1899191621044032,0.863678777891254,0.9229546369999182,0.3410729235340507,0.204998839041199
26,1,1,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.1820268980883615,0.7296149082677823,0.0,0.07111427827431792,1.0841576790628016,0.9158423209371988,0.0,0.0,1.1839962134671083,0.7472989389202381,0.0,0.048179795830960666
27,7,7,False,1.253100636872735,0.746899363127265,0.0,0.0,1.0994092793828456,0.7465651776676611,0.0,0.15395870585757238,1.1430269529576313,0.8569730470423691,0.0,0.0,0.9316275859042809,0.8569730470423691,0.0,0.2113993670533506
28,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
29,4,6,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.098453326871036,0.7307765577768652,0.0,0.1536810865837719,1.0632717541682173,0.936728245831783,0.0,0.0,1.0629044678800614,0.936728245831783,0.0,0.0003672862881556914
30,8,8,False,0.8022739680690414,0.746899363127265,0.0,0.4508266688036937,1.0908547886503919,0.7465651776676611,0.0,0.1625131965900262,0.6934062229590359,0.8557671082372706,0.0,0.4508266688036938,0.9322897237930208,0.8557671082372706,0.0,0.2119431679697087
31,6,8,True,1.0631814747683317,0.746899363127265,0.0,0.18991916210440318,1.0825513292062134,0.7292804217397206,0.0,0.1811206724990482,0.867720731917583,0.9423601059780141,0.0,0.1899191621044032,0.8603382141942608,0.9091736640676733,0.8757646064708734,0.2068174718439956
32,8,8,False,0.8022739680690414,0.746899363127265,0.0,0.4508266688036937,1.0939851544577248,0.7289462362801167,0.0,0.16995419561521985,0.6934062229590359,0.8557671082372706,0.0,0.4508266688036938,0.9279082162823866,0.8502522218360097,0.0,0.2152133208373318
33,8,8,True,0.8022739680690414,0.746899363127265,0.0,0.4508266688036937,1.0908547886503919,0.7465651776676611,0.0,0.1625131965900262,0.6934062229590359,0.8557671082372706,0.0,0.4508266688036938,0.9316491273466136,0.8513109818328879,0.0,0.2144307842442551
34,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
35,1,1,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.1820268980883615,0.7296149082677823,0.0,0.07111427827431792,1.0841576790628016,0.9158423209371988,0.0,0.0,1.1839962134671083,0.7472989389202381,0.0,0.048179795830960666
36,4,6,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.098598361935766,0.7289462362801167,0.0,0.15494401761951304,1.0632717541682173,0.936728245831783,0.0,0.0,1.0981383992110325,0.762827631610641,0.0,0.11850891739663319
37,1,3,True,1.253100636872735,0.746899363127265,0.0,0.0,1.2074438680063193,0.7289462362801167,1.7243915369538254,0.01848893608765984,1.2410018062452328,0.7589981937547675,0.0,0.0,1.3343397287151513,0.5862133735946553,3.000000000000001,0.005483412535598106
38,5,7,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,0.9210386009327398,1.0789613990672606,0.0,0.0,0.9206180725366979,1.0789613990672606,0.0,0.0004205283960418955
39,6,8,True,1.0631814747683317,0.746899363127265,0.0,0.18991916210440318,1.083353305323517,0.746899363127265,0.0,0.169747331549218,0.867720731917583,0.9423601059780141,0.0,0.1899191621044032,0.860648435284296,0.9378787401584385,0.13617452869668223,0.19814114828447943
40,7,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0864335482833667,0.9038362992906687,0.0,0.009730152425964813,0.9419140988528887,1.0580859011471115,0.0,0.0,0.8927434638445179,1.0580859011471115,0.0,0.049170635008370836
41,6,8,True,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8238470744092817,1.069864496926704,2.6589270764659503,0.04518166602818082
42,6,6,False,0.9204592624969882,0.9038362992906687,0.0,0.17570443821234316,1.0476975377214102,0.9038362992906687,0.0,0.04846616298792144,0.6422415141314812,1.1820540476561758,0.0,0.17570443821234322,0.8113937805796402,1.1820540476561758,0.0,0.006552171764184356
43,8,8,True,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0882693779301091,0.9038362992906687,0.0,0.00789432277922221,0.9436649262079071,1.0563350737920933,0.0,0.0,0.9316394780161201,1.0563350737920933,0.0,0.012025448191786844
44,4,4,False,1.0961637007093314,0.9038362992906687,0.0,0.0,1.0949537770784594,0.9038362992906687,0.0,0.0012099236308720106,1.0632717541682173,0.936728245831783,0.0,0.0,1.0629044678800614,0.936728245831783,0.0,0.0003672862881556914
