case,uniform_utility,tou_utility,utility_change,uniform_peak,tou_peak,uniform_profit,tou_profit,provider_regret,user_regret
baseline,1.100909135388189,0.97718291255011,-0.12372622283807899,52.386034398954855,53.061300411193365,144.44253692887082,171.3800473239752,2.842170943040401e-14,0.0
flex_25,1.0351135201399122,0.9481563412567436,-0.08695717888316856,52.59557832492592,49.876632686940226,157.1424525853286,180.27226444900873,1.4210854715202004e-14,0.0
flex_75,1.1015347793850003,0.9756138591520593,-0.125920920232941,52.19300569348027,53.55199193225015,144.78031588755567,169.1560337290954,2.842170943040401e-14,0.0
window_1,1.1009091353881895,0.9748548894341514,-0.12605424595403802,52.38603439895485,53.22836637116679,144.4425369288707,170.39503885740618,2.842170943040401e-14,0.0
no_time_flexibility,0.989346364557778,0.8820963916106727,-0.10724997294710537,59.000000000000014,59.0,167.1732883394974,190.96466916702607,1.4210854715202004e-14,0.0
seed_20260907,1.1131261085504585,1.0290436542440466,-0.08408245430641181,46.75659530816632,51.99418489465288,142.43270551964721,158.45741365816548,2.842170943040401e-14,0.0
seed_20260908,1.0405978736528911,0.946952031183721,-0.09364584246917018,53.09401334312948,52.734335834494914,158.23438353361183,182.3641691794178,4.263256414560601e-14,0.0
seed_20260909,1.1071558955172558,1.0301657749330648,-0.07699012058419097,47.75693901207067,50.70508694227357,143.59185535548278,158.07018741456383,1.4210854715202004e-14,0.0
seed_20260910,1.0917686210631576,0.9646959628718217,-0.12707265819133595,52.27227064135905,53.196784153555654,145.79196036904108,173.10658352002494,1.4210854715202004e-14,0.0
