stage,mean_utility,mean_generalized_cost,mean_bill,mean_delay_cost,mean_switch_cost,mean_congestion_cost,total_bill,mean_qos,minimum_qos,peak_load,maximum_utilization,mean_delay_hours,mean_flexible_delay_hours,shifted_fraction,provider_switch_fraction,provider_A_profit,provider_B_profit,market_profit,max_user_regret
uniform_initial,1.0582054889850852,0.941794511014915,0.8600247379450519,0.0,0.0,0.08176977306986309,206.40593710681244,0.9591151134650687,0.7745866655981531,59.0,1.6666666666666667,0.0,0.0,0.0,0.0,118.1636797772857,36.542257329526755,154.70593710681246,0.43419408020899364
uniform_equilibrium,1.1009091353881888,0.899090864611811,0.8152239263007798,0.0029126981907226005,0.005638156061949608,0.07531608405835903,195.65374231218715,0.9623419579708206,0.9066015383764313,52.386034398954855,1.396869132893382,0.1692557224991775,0.338511444998355,0.056418574166392496,0.1879385353983203,94.10262325683544,50.33991367203539,144.44253692887085,0.0
tou_initial,0.9269754200002212,1.0730245799997793,0.9912548069299161,0.0,0.0,0.0817697730698631,237.90115366317988,0.9591151134650688,0.7745866655981533,59.00000000000001,1.666666666666667,0.0,0.0,0.0,0.0,142.4227357028582,43.77841796032167,186.20115366317987,0.5078941443265232
tou_equilibrium,0.9771829125501101,1.0228170874498903,0.9265947430778219,0.009089720494073694,0.00610998124991924,0.0810226426280755,222.38273833867726,0.9594886786859627,0.8893264581932924,53.06130041119337,1.4294635860931306,0.48357928065874756,0.9671585613174951,0.14344753083687017,0.20366604166397473,108.81975867679456,62.56028864718063,171.3800473239752,0.0
