policy,mechanism,temporal_enabled,spatial_enabled,converged,joint_residual,rigid_centroid,elastic_centroid,firm_A_profit,firm_B_profit,intermediary_profit,system_profit,aggregate_peak_load,aggregate_peak_to_average,maximum_provider_utilization,provider_utilization_imbalance,minimum_provider_qos,temporal_moved_fraction,total_demand,aggregate_peak_load_change_vs_neither,maximum_provider_utilization_change_vs_neither,minimum_provider_qos_change_vs_neither
uniform,neither,False,False,True,7.571874238720966e-10,5.37976197278412,5.379761972784121,1043.7893297529804,797.8399566366367,203.6473863450963,2045.2766727347132,238.61726655154433,1.7353983021930497,1.4285605935392178,0.674333350112992,0.899826551887847,0.0,1100.0,0.0,0.0,0.0
uniform,temporal_only,True,False,True,8.632224379745423e-10,5.37976197278412,5.306444969293197,1042.2843919843408,811.2867190804567,204.8917202430381,2058.4628313078356,225.48560665438242,1.6398953211227814,1.3580256611263126,0.6485381108302687,0.9289806018883044,0.3127296085308029,1100.0,-13.13165989716191,-0.0705349324129052,0.029154050000457454
uniform,spatial_only,False,True,True,7.013470360028862e-10,5.37976197278412,5.379761972784121,951.6017144928592,853.5615647079688,149.80872934024555,1954.9720085410736,238.61726655154433,1.7353983021930497,1.5179282081725907,0.799448010599714,0.8571304313149499,0.0,1100.0,0.0,0.08936761463337284,-0.04269612057289707
uniform,combined,True,True,True,6.557409060192754e-10,5.37976197278412,5.304300859593983,944.8523541717492,876.969013783438,150.69801245530266,1972.51938041049,224.47997233937303,1.632581617013622,1.4553287519215161,0.7903492952491612,0.8876738460631972,0.3127753146951814,1100.0,-14.137294212171298,0.02676815838229829,-0.012152705824649779
dynamic,neither,False,False,True,8.930459149958381e-10,5.37976197278412,5.379761972784121,1126.386927052584,904.5293347229473,184.83660261197232,2215.752864387504,238.61726655154433,1.7353983021930497,1.3968664075375312,0.6299614897106308,0.9134577224077337,0.0,1100.0,0.0,0.0,0.0
dynamic,temporal_only,True,False,True,6.627055570973539e-10,5.37976197278412,5.21046815510225,1094.5756593568058,906.1187773770095,194.27388028235933,2194.9683170161743,196.6023026000546,1.429834928000397,1.1715148034293774,0.5584623406320381,0.983235740588029,0.327485891215461,1100.0,-42.01496395148973,-0.2253516041081538,0.06977801818029528
dynamic,spatial_only,False,True,True,6.627055570973539e-10,5.37976197278412,5.379761972784121,1089.843905244573,949.722076774935,159.65939540415172,2199.2253774236597,238.61726655154433,1.7353983021930497,1.2951500153790256,0.5946079022911475,0.9511677549674713,0.0,1100.0,0.0,-0.10171639215850559,0.037710032559737594
dynamic,combined,True,True,True,6.627055570973539e-10,5.37976197278412,5.197092899973627,1039.182881541466,958.7230423450874,157.1696238194249,2155.0755477059784,195.22615639573417,1.4198265919689756,1.2067074688329686,0.610885130288112,0.9757429427078412,0.3295030310275819,1100.0,-43.39111015581017,-0.19015893870456257,0.062285220300107524
