case,period,total_demand,served_demand,peak_utilization,minimum_firm_qos,intermediary_price
uniform,1,30.91820166089498,30.918201644531507,0.1280564110644665,0.9999999990344353,1.1
uniform,2,18.759777504084823,18.759777501595224,0.07769842918637226,0.9999999997868549,1.1
uniform,3,61.31665690641333,61.31665560656243,0.25396672952441707,0.9999999578064368,1.1
uniform,4,146.1230575450684,146.0096262548788,0.6046847238684663,0.9984368037936946,1.1
uniform,5,210.24188123723883,193.03443409727961,0.7707997320837661,0.8139688612745217,1.1
uniform,6,222.10656964299454,199.244929268682,0.7822217827449163,0.756455957358171,1.1
uniform,7,180.11051830921508,175.69403891329654,0.7225053006142823,0.9490608426664122,1.1
uniform,8,45.057485012263,45.05748488243822,0.18662021248506047,0.9999999944050064,1.1
dynamic_coarse,1,28.320081586014503,28.320081553186075,0.14887463772255108,0.9999999981969063,1.2697142857142858
dynamic_coarse,2,17.536104006083097,17.536104001348043,0.09750738700329716,0.9999999996138439,1.32
dynamic_coarse,3,55.48565771359745,55.48565627484366,0.2571559335530451,0.9999999535701448,1.1691428571428573
dynamic_coarse,4,139.82921622112667,139.82553763755908,0.49684796529208053,0.9999383861475081,1.0182857142857145
dynamic_coarse,5,237.97248338786414,237.07961157661424,0.6695104589959269,0.9891715013244597,0.9177142857142858
dynamic_coarse,6,255.4384279159891,252.67099996667747,0.705901425170401,0.9684143534133162,0.9177142857142858
dynamic_coarse,7,183.4484043093105,183.38772516604598,0.5848152926735589,0.9991381285707248,0.968
dynamic_coarse,8,40.82081830511773,40.8208180889537,0.20189627929698414,0.9999999911523392,1.2194285714285715
dynamic_fine,1,40.004426941871436,40.004426487527695,0.22347650597528532,0.9999999830958266,0.6765714285714286
dynamic_fine,2,26.482295691448677,26.48229564666036,0.15769385857323123,0.9999999976507852,0.6400000000000001
dynamic_fine,3,69.34669560282313,69.34667906428821,0.330321781124068,0.9999995830699833,0.7497142857142858
dynamic_fine,4,149.27837701833644,149.27174977756778,0.5152479394132458,0.9998929986711975,0.8594285714285714
dynamic_fine,5,235.37915438808605,235.14348714091062,0.623332748083828,0.9972680877160518,0.9325714285714286
dynamic_fine,6,253.03194695189393,252.12789116410846,0.6662669479948348,0.9901656568016834,0.9325714285714286
dynamic_fine,7,187.8634617728677,187.82453099811386,0.5706123397047342,0.9994369788821038,0.8960000000000001
dynamic_fine,8,54.12816031065471,54.128157132487445,0.28075192377774755,0.9999999057620477,0.7131428571428572
