alpha_scale,capacity_scale,peak_reduction,profit_gain_pct,qos_gain
0.7,0.8,0.05766286489699368,10.218037140558252,0.2958353974646809
0.85,0.8,0.0677826879578679,11.933565308781514,0.334045554965466
1.0,0.8,0.07327263743291557,13.076989673487537,0.35186626194557624
1.15,0.8,0.08269605296151328,14.416177912421453,0.38597956971269726
1.3,0.8,0.0926255015303431,15.45937680665145,0.4181249774970055
0.7,0.9,0.04316669233027426,8.780297578195341,0.20597098428119176
0.85,0.9,0.050692619076397216,10.071635566066105,0.23737969714890084
1.0,0.9,0.058035665053852936,12.380905007976258,0.2763456428201193
1.15,0.9,0.07231573273381875,13.604473730355547,0.3104641595070664
1.3,0.9,0.08859573135060816,14.487191692252319,0.33726501276861076
0.7,1.0,0.05864990939577275,6.690436635157527,0.18547454116373374
0.85,1.0,0.07182335942723062,7.417721114232883,0.2048647952387217
1.0,1.0,0.07632035757451527,9.283584814888854,0.21195839605514522
1.15,1.0,0.09508234448368036,9.93082787328429,0.22669377019165715
1.3,1.0,0.11860984127030338,10.312683008592611,0.23571334448944958
0.7,1.1,0.08330431305826458,4.289518030616029,0.14416160895385177
0.85,1.1,0.10199238273938671,4.587397492522984,0.153223588176856
1.0,1.1,0.10686899905052494,6.260550082997881,0.15622965758132523
1.15,1.1,0.13085587763048867,6.551408699292098,0.16069858261102832
1.3,1.1,0.15731599442686062,6.693957556711416,0.1618411240546619
0.7,1.2,0.11329685766577491,2.0261516817279297,0.09368652324692262
0.85,1.2,0.13373796587761488,2.1154734564857582,0.09669523415971226
1.0,1.2,0.1384117904380241,3.6810245047019925,0.09775125618702263
1.15,1.2,0.16242216162543732,3.840520188045878,0.09832980774498834
1.3,1.2,0.18750892401438202,3.9104760829680743,0.09734706558400008
